id,problem name,description,constraints,examples,difficulty level,date-time
51,Museum Exhibit Visits,"A museum tracks the number of visitors to an exhibit each hour. To plan staff schedules, they want to find the busiest consecutive 4-hour period. Given a list of hourly visitor counts, compute the maximum number of visitors in any 4 consecutive hours.",Number of hours: 4 ≤ n ≤ 10^5; Visitors per hour: 0 ≤ visitors ≤ 10^4,"[
  {
    ""input"": ""[10, 20, 30, 40, 50, 60]"",
    ""output"": ""180"",
    ""explanation"": ""The 4-hour period from hours 3-6 has 30 + 40 + 50 + 60 = 180 visitors, which is the maximum.""
  },
  {
    ""input"": ""[5, 5, 5, 5, 5]"",
    ""output"": ""20"",
    ""explanation"": ""Any 4 consecutive hours have 5 + 5 + 5 + 5 = 20 visitors.""
  }
]",Easy,
52,Delivery Route Optimization,"A courier service assigns delivery stops with unique distances from the warehouse. They need to find two stops whose distances sum to a specific target to optimize a route. Given a list of distances and a target sum, check if such a pair exists.",Number of stops: 1 ≤ n ≤ 10^5; Distances: 1 ≤ distance ≤ 10^6; Target sum: 1 ≤ target ≤ 2*10^6,"[
  {
    ""input"": ""Distances = [1, 2, 3, 4], Target = 5"",
    ""output"": ""Yes"",
    ""explanation"": ""Distances 2 and 3 sum to 5 (2 + 3 = 5).""
  },
  {
    ""input"": ""Distances = [10, 20, 30], Target = 25"",
    ""output"": ""No"",
    ""explanation"": ""No pair of distances sums to 25.""
  }
]",Easy,
53,Inventory Audit,"A store conducts an inventory audit by logging item quantities in the order they were received. To prioritize recent stock, they want to find the first item (from the end) with a quantity above a threshold. Given a list of quantities and a threshold, find the position of the last item exceeding the threshold.",Number of items: 1 ≤ n ≤ 10^5; Quantities: 0 ≤ quantity ≤ 10^4; Threshold: 0 ≤ threshold ≤ 10^4,"[
  {
    ""input"": ""Quantities = [5, 10, 15, 20], Threshold = 12"",
    ""output"": ""3"",
    ""explanation"": ""Traversing from the right, the first quantity > 12 is 20 at position 3 (0-based).""
  },
  {
    ""input"": ""Quantities = [1, 2, 3], Threshold = 5"",
    ""output"": ""-1"",
    ""explanation"": ""No quantity exceeds 5.""
  }
]",Easy,
54,Contest Scoreboard,"A competition assigns scores to participants, and the organizer wants to check if the scores are in decreasing order for a leaderboard. Given a list of scores, determine if they are in strictly decreasing order.",Number of participants: 1 ≤ n ≤ 10^5; Scores: 1 ≤ score ≤ 10^6,"[
  {
    ""input"": ""[50, 40, 30, 20]"",
    ""output"": ""Yes"",
    ""explanation"": ""The scores are in decreasing order (50 > 40 > 30 > 20).""
  },
  {
    ""input"": ""[100, 90, 90, 80]"",
    ""output"": ""No"",
    ""explanation"": ""The scores 90 and 90 are equal, breaking the strictly decreasing order.""
  }
]",Easy,
55,Traffic Flow Analysis,"A city monitors vehicle counts at a checkpoint each hour. To answer queries about total vehicles between specific hours, they need an efficient method. Given a list of hourly vehicle counts and a range of hours, compute the total vehicles in that range.",Number of hours: 1 ≤ n ≤ 10^5; Vehicles per hour: 0 ≤ vehicles ≤ 10^4; Query range: 1 ≤ start ≤ end ≤ n,"[
  {
    ""input"": ""Vehicles = [100, 200, 300, 400], Range = [1, 3]"",
    ""output"": ""600"",
    ""explanation"": ""Vehicles from hours 1-3 are 100 + 200 + 300 = 600.""
  },
  {
    ""input"": ""Vehicles = [50, 50, 50], Range = [2, 3]"",
    ""output"": ""100"",
    ""explanation"": ""Vehicles from hours 2-3 are 50 + 50 = 100.""
  }
]",Easy,
56,Classroom Seat Arrangement,"In a classroom, students are assigned seat numbers represented by an array. Due to a seating mix-up, some seat numbers may be repeated. The teacher wants to find out if all students are sitting in unique seats (i.e., no seat number is assigned to more than one student).
Given the list of seat numbers assigned to students, determine if the seating arrangement has no duplicates.
",1 ≤ number of students ≤ 100; Seat numbers are positive integers.,"[
  {
    ""input"": ""[1, 2, 3, 4, 5]"",
    ""output"": ""Unique"",
    ""explanation"": ""All seat numbers are unique.""
  },
  {
    ""input"": ""[1, 2, 2, 4, 5]"",
    ""output"": ""Not Unique"",
    ""explanation"": ""Seat number 2 is assigned to more than one student.""
  }
]",Easy,
57,Sales Trend Analysis,"A retailer tracks daily sales and wants to identify days with sales below the median to offer promotions. Given a list of daily sales, count how many days have sales strictly below the median.",Number of days: 1 ≤ n ≤ 10^5; Sales: 0 ≤ sales ≤ 10^4,"[
  {
    ""input"": ""[10, 20, 30, 40, 50]"",
    ""output"": ""2"",
    ""explanation"": ""Sorted sales: [10, 20, 30, 40, 50]. Median = 30. Days with sales < 30 are 10 and 20 (count = 2).""
  },
  {
    ""input"": ""[100, 100, 100]"",
    ""output"": ""0"",
    ""explanation"": ""Median = 100. No sales are strictly below 100.""
  }
]",Easy,
58,Parking Lot Allocation,"A parking lot assigns unique spot numbers to vehicles. To check availability, the manager needs to verify if a specific spot is occupied. Given a list of occupied spot numbers and a target spot, check if the target is occupied.",Number of spots: 1 ≤ n ≤ 10^5; Spot numbers: 1 ≤ spot ≤ 10^6,"[
  {
    ""input"": ""Spots = [101, 102, 103], Target = 102"",
    ""output"": ""Yes"",
    ""explanation"": ""Spot 102 is occupied.""
  },
  {
    ""input"": ""Spots = [201, 202], Target = 203"",
    ""output"": ""No"",
    ""explanation"": ""Spot 203 is not occupied.""
  }
]",Easy,
59,Farm Yield Ranking,"A farmer records the yield of each field and wants to find the field with the third-highest yield to award a prize. Given a list of yields, find the third-highest yield.",Number of fields: 3 ≤ n ≤ 10^5; Yields: 1 ≤ yield ≤ 10^6,"[
  {
    ""input"": ""[50, 30, 70, 20, 40]"",
    ""output"": ""40"",
    ""explanation"": ""Sorted yields in descending order: [70, 50, 40, 30, 20]. The third-highest is 40.""
  },
  {
    ""input"": ""[100, 90, 80]"",
    ""output"": ""80"",
    ""explanation"": ""The third-highest yield is 80.""
  }
]",Easy,
60,City Grid Planning,"A city planner designs a grid where each cell represents the height of a building. To assess uniformity, they need to count how many buildings in a specific column have a height above a threshold. Given the grid and a column number, compute the count.","Grid size: 1 ≤ rows, cols ≤ 100; Heights: 0 ≤ height ≤ 10^4; Column number: 1 ≤ col ≤ cols","[
  {
    ""input"": ""Grid = [[1, 2], [3, 4], [5, 6]], Column = 2, Threshold = 3"",
    ""output"": ""2"",
    ""explanation"": ""Column 2 has heights [2, 4, 6]. Heights 4 and 6 are > 3, so count = 2.""
  },
  {
    ""input"": ""Grid = [[10, 10], [20, 20]], Column = 1, Threshold = 15"",
    ""output"": ""1"",
    ""explanation"": ""Column 1 has heights [10, 20]. Only 20 is > 15, so count = 1.""
  }
]",Easy,
61,Secret Diary Lock,"A child creates a lock for their diary using a sequence of letters, where the lock opens only if a specific letter appears exactly twice. Given the lock sequence, check if such a letter exists.",Sequence length: 1 ≤ n ≤ 10^5; Sequence contains only lowercase letters (a-z).,"[
  {
    ""input"": ""aabbc"",
    ""output"": ""Yes"",
    ""explanation"": ""Letters 'a' and 'b' each appear exactly twice (a:2, b:2, c:1).""
  },
  {
    ""input"": ""xyz"",
    ""output"": ""No"",
    ""explanation"": ""No letter appears exactly twice (x:1, y:1, z:1).""
  }
]",Easy,
62,Club Password Rule,"A club enforces a password rule where no letter can appear more than once to ensure security. Given a password, verify if all its letters are unique.",Password length: 1 ≤ n ≤ 10^5; Password contains only lowercase letters (a-z).,"[
  {
    ""input"": ""code"",
    ""output"": ""Yes"",
    ""explanation"": ""All letters (c, o, d, e) are unique.""
  },
  {
    ""input"": ""book"",
    ""output"": ""No"",
    ""explanation"": ""The letter 'o' appears twice.""
  }
]",Easy,
63,Coded Message Exchange,"Two spies exchange coded messages by scrambling the letters. To verify authenticity, they check if one message is a rearrangement of the other. Given two messages, determine if they are rearrangements of each other.",Message length: 1 ≤ n ≤ 10^5; Messages contain only lowercase letters (a-z).,"[
  {
    ""input"": ""Message1 = triangle, Message2 = integral"",
    ""output"": ""Yes"",
    ""explanation"": ""triangle and integral have the same letters with the same frequencies.""
  },
  {
    ""input"": ""Message1 = cat, Message2 = dog"",
    ""output"": ""No"",
    ""explanation"": ""The letters in cat and dog are different.""
  }
]",Easy,
64,Magic Word Check,"A wizard uses a magic word that reads the same forwards and backwards to cast spells. Given a word, check if it is a valid magic word.",Word length: 1 ≤ n ≤ 10^5; Word contains only lowercase letters (a-z).,"[
  {
    ""input"": ""deified"",
    ""output"": ""Yes"",
    ""explanation"": ""deified reads the same forwards and backwards.""
  },
  {
    ""input"": ""magic"",
    ""output"": ""No"",
    ""explanation"": ""magic reversed is cigam, which is different.""
  }
]",Easy,
65,Charity Donation Tracker,"A charity collects donations daily and wants to track the cumulative total of donations up to each day to monitor progress. Given a list of daily donation amounts, compute the cumulative total for each day.",Number of days: 1 ≤ n ≤ 1000; Donation amounts: -1000 ≤ amount ≤ 1000,"[
  {
    ""input"": ""Donations = [1, 2, 3, 4]"",
    ""output"": ""[1, 3, 6, 10]"",
    ""explanation"": ""The cumulative totals are: Day 1: 1 = 1, Day 2: 1 + 2 = 3, Day 3: 1 + 2 + 3 = 6, Day 4: 1 + 2 + 3 + 4 = 10.""
  },
  {
    ""input"": ""Donations = [5, 5, 5]"",
    ""output"": ""[5, 10, 15]"",
    ""explanation"": ""The cumulative totals are: Day 1: 5 = 5, Day 2: 5 + 5 = 10, Day 3: 5 + 5 + 5 = 15.""
  }
]",Easy,
66,Poetry Contest Ranking,"A poetry contest assigns titles to poems, and the organizer wants to find the lexicographically smallest title for a prize. Given a list of poem titles, find the smallest title (alphabetically).",Number of titles: 1 ≤ n ≤ 10^5; Titles are strings of lowercase letters (1 ≤ length ≤ 10).,"[
  {
    ""input"": ""[zebra, apple, cat]"",
    ""output"": ""apple"",
    ""explanation"": ""apple is the lexicographically smallest title.""
  },
  {
    ""input"": ""[dog, bird]"",
    ""output"": ""bird"",
    ""explanation"": ""bird is the smallest title.""
  }
]",Easy,
67,Diary Entry Length,"A writer keeps a diary, recording entries daily, with each entry consisting of words separated by spaces. To reflect on their most recent thoughts, they want to know the length of the last word in their latest entry. Given a diary entry, compute the length of the last word (a word is a sequence of non-space characters).","Entry length: 1 ≤ n ≤ 10^4; Entry contains only lowercase letters and spaces; At least one word exists, and the entry does not start or end with a space; Words are separated by a single space.","[
  {
    ""input"": ""Entry = today is a good day"",
    ""output"": ""3"",
    ""explanation"": ""The words in the entry are today, is, a, good, day. The last word is day, which has a length of 3.""
  },
  {
    ""input"": ""Entry = hello world"",
    ""output"": ""5"",
    ""explanation"": ""The words are hello, world. The last word is world, which has a length of 5.""
  }
]",Easy,
68,Secret Code Verification,"A spy agency uses secret codes to communicate, where a valid code reads the same forwards and backwards after ignoring non-letter characters (spaces, punctuation) and converting to lowercase. Given a code phrase, determine if it is a valid secret code (i.e., a palindrome after processing).","Phrase length: 1 ≤ n ≤ 10^5; Phrase contains lowercase letters, uppercase letters, digits, and special characters.","[
  {
    ""input"": ""Phrase = A man, a plan, a canal: Panama"",
    ""output"": ""Yes"",
    ""explanation"": ""After removing non-letter characters and converting to lowercase, the phrase becomes amanaplanacanalpanama. This reads the same forwards and backwards, so it is a valid palindrome.""
  },
  {
    ""input"": ""Phrase = race a car"",
    ""output"": ""No"",
    ""explanation"": ""After processing, the phrase becomes raceacar. This is not the same when reversed (racaeacar), so it is not a palindrome.""
  }
]",Easy,
69,Event Scheduling Conflicts,"An event planner schedules talks, each with a start and end time, and needs to ensure no talks overlap. Given a list of talk time intervals, check if any two talks overlap.",Number of talks: 1 ≤ n ≤ 10^5; Start and end times: 0 ≤ time ≤ 10^6,"[
  {
    ""input"": ""Intervals = [[10, 20], [15, 25]]"",
    ""output"": ""Yes"",
    ""explanation"": ""The talk from 10-20 overlaps with 15-25 (at time 15-20).""
  },
  {
    ""input"": ""Intervals = [[1, 5], [6, 10]]"",
    ""output"": ""No"",
    ""explanation"": ""The talks do not overlap (1-5 ends before 6-10 starts).""
  }
]",Easy,
70,Alien Language Translator,"An interstellar linguist decodes messages between two alien languages, where each word in one language maps to a word in the other. For the translation to be valid, each letter in the first language’s word must map to a unique letter in the second language’s word, and vice versa, while preserving the order. Given two words from the two languages, determine if they form a valid translation pair.",Word length: 1 ≤ n ≤ 10^5; Both words have the same length; Words contain only lowercase letters (a-z).,"[
  {
    ""input"": ""Word1 = egg, Word2 = add"",
    ""output"": ""Yes"",
    ""explanation"": ""The mapping is: e → a, g → d. Each letter in egg maps to a unique letter in add (e to a, g to d), and vice versa (a to e, d to g). The pattern is consistent, so the translation is valid.""
  },
  {
    ""input"": ""Word1 = foo, Word2 = bar"",
    ""output"": ""No"",
    ""explanation"": ""The mapping would be: f → b, o → a, o → r. The letter o in foo maps to both a and r in bar, which violates the one-to-one mapping rule. Thus, the translation is invalid.""
  }
]",Easy,
71,Water Reservoir Design,"A city planner designs a series of reservoirs along a river, where each reservoir’s depth is recorded. To maximize water storage, they need to find the longest consecutive stretch of reservoirs with a total depth of at least a given threshold. Given a list of reservoir depths and a threshold, compute the length of the longest such stretch.",Number of reservoirs: 1 ≤ n ≤ 10^5; Depths: 0 ≤ depth ≤ 10^4; Threshold: 1 ≤ k ≤ 10^9,"[
  {
    ""input"": ""Depths = [1, 2, 3, 4, 5], Threshold = 12"",
    ""output"": ""3"",
    ""explanation"": ""The longest stretch with sum ≥ 12 is [3, 4, 5] (sum = 12), with length 3.""
  },
  {
    ""input"": ""Depths = [1, 1, 1], Threshold = 5"",
    ""output"": ""0"",
    ""explanation"": ""No consecutive stretch has a sum ≥ 5, so the output is 0.""
  }
]",Moderate,
72,Bridge Support Beams,"An engineer is designing a bridge and needs to use two support beams whose combined strength exactly matches a target load to ensure structural stability. The engineer has a list of available beam strengths. Your task is to determine whether there are two distinct beams that sum up to the given target value. Return the indices of the two beams if such a pair exists. If no such pair exists, return [-1, -1].",Number of beams: 2 ≤ n ≤ 10⁵; Strength of each beam: 1 ≤ strength ≤ 10⁶; Target sum: 2 ≤ target ≤ 2 × 10⁶,"[
  {
    ""input"": ""Strengths = [2, 7, 11, 15], Target = 9"",
    ""output"": ""[0, 1]"",
    ""explanation"": ""Beams at indices 0 and 1 have strengths 2 and 7, and 2 + 7 = 9, which matches the target.""
  },
  {
    ""input"": ""Strengths = [3, 2, 4], Target = 10"",
    ""output"": ""[-1, -1]"",
    ""explanation"": ""No two beams sum to 10, so return [-1, -1].""
  }
]",Moderate,
73,Warehouse Restocking Priority,"A warehouse restocks items in the order they were logged, but prioritizes items with quantities below a threshold by processing from the most recent entries. Given a list of item quantities and a threshold, move all items with quantities below the threshold to the end while maintaining their relative order, and keep other items in their original order.",Number of items: 1 ≤ n ≤ 10^5; Quantities: 0 ≤ quantity ≤ 10^4; Threshold: 0 ≤ threshold ≤ 10^4,"[
  {
    ""input"": ""Quantities = [10, 5, 3, 15, 2], Threshold = 6"",
    ""output"": ""[10, 15, 5, 3, 2]"",
    ""explanation"": ""Quantities below 6 are 5, 3, 2. Move them to the end in order, keeping 10, 15 in front: [10, 15, 5, 3, 2].""
  },
  {
    ""input"": ""Quantities = [7, 8, 9], Threshold = 6"",
    ""output"": ""[7, 8, 9]"",
    ""explanation"": ""No quantities are below 6, so the list remains unchanged.""
  }
]",Moderate,
74,Tournament Ranking,"A tournament ranks players by their scores, and the organizer needs to select the k-th highest-scoring player for a special award, considering duplicates. Given a list of player scores and a position k, find the k-th highest score (1-based ranking).",Number of players: 1 ≤ n ≤ 10^5; Scores: -10^4 ≤ score ≤ 10^4; 1 ≤ k ≤ n,"[
  {
    ""input"": ""Scores = [100, 50, 50, 25], k = 2"",
    ""output"": ""50"",
    ""explanation"": ""Sorted scores in descending order: [100, 50, 50, 25]. The 2nd highest score is 50.""
  },
  {
    ""input"": ""Scores = [10, 20, 30], k = 4"",
    ""output"": ""-1"",
    ""explanation"": ""There are only 3 scores, so the 4th highest does not exist.""
  }
]",Moderate,
75,Traffic Pattern Analysis,"A traffic monitor records vehicle speeds hourly and needs to answer queries about the maximum speed in any given time range. Given a list of speeds and multiple range queries, compute the maximum speed for each range.",Number of hours: 1 ≤ n ≤ 10^5; Speeds: 0 ≤ speed ≤ 10^4; Number of queries: 1 ≤ q ≤ 10^5; Query range: 1 ≤ start ≤ end ≤ n,"[
  {
    ""input"": ""Speeds = [10, 50, 30, 40, 20], Query = [2, 4]"",
    ""output"": ""50"",
    ""explanation"": ""Speeds from hours 2 to 4 are [50, 30, 40]. The maximum is 50.""
  },
  {
    ""input"": ""Speeds = [5, 5, 5], Query = [1, 3]"",
    ""output"": ""5"",
    ""explanation"": ""Speeds from hours 1 to 3 are [5, 5, 5]. The maximum is 5.""
  }
]",Moderate,
76,Inventory Reorganization,"A warehouse reorganizes items by their IDs, placing each item in a slot equal to its ID (if possible). Given a list of item IDs, find the first ID that cannot be placed in its corresponding slot (i.e., ID i is not at index i).",Number of items: 1 ≤ n ≤ 10^5; IDs: 0 ≤ ID < n; Each ID appears at most once.,"[
  {
    ""input"": ""IDs = [0, 1, 2, 3]"",
    ""output"": ""-1"",
    ""explanation"": ""Each ID i is at index i (0 at 0, 1 at 1, etc.), so all IDs are correctly placed.""
  },
  {
    ""input"": ""IDs = [1, 2, 0, 3]"",
    ""output"": ""1"",
    ""explanation"": ""ID 1 is at index 0, not 1, so 1 is the first ID not in its correct slot.""
  }
]",Moderate,
77,Sales Anomaly Detection,"A retailer monitors daily sales to detect anomalies. An anomaly is defined as a day's sales value that deviates from the average of all previous days by more than a given threshold. Given a list of daily sales and a threshold value, determine the index of the first day where such an anomaly occurs. If no anomaly is detected in the data, return -1.",Number of days: 2 ≤ n ≤ 10^5; Sales: 0 ≤ sales ≤ 10^4; Threshold: 0 ≤ threshold ≤ 10^4,"[
  {
    ""input"": ""Sales = [10, 10, 10, 50], Threshold = 20"",
    ""output"": ""3"",
    ""explanation"": ""For day 4 (index 3), average of previous days = (10 + 10 + 10) / 3 = 10. Sales = 50; deviation = |50 - 10| = 40 > 20 ⇒ anomaly at index 3.""
  },
  {
    ""input"": ""Sales = [5, 5, 5, 5], Threshold = 10"",
    ""output"": ""-1"",
    ""explanation"": ""Every day's sales are within 10 units of the average of previous days. No anomaly detected.""
  }
]",Moderate,
78,Customer Loyalty Check,"A store tracks customer purchase amounts and wants to reward loyal customers who have made purchases summing to a target value. Given a list of purchase amounts, find the smallest subarray of consecutive purchases that sums to the target.",Number of purchases: 1 ≤ n ≤ 10^5; Amounts: 1 ≤ amount ≤ 10^4; Target: 1 ≤ target ≤ 10^9,"[
  {
    ""input"": ""Amounts = [1, 2, 3, 4, 5], Target = 12"",
    ""output"": ""3"",
    ""explanation"": ""The smallest subarray summing to 12 is [3, 4, 5] (length 3).""
  },
  {
    ""input"": ""Amounts = [1, 2, 3], Target = 10"",
    ""output"": ""-1"",
    ""explanation"": ""No subarray sums to 10.""
  }
]",Moderate,
79,Job Candidate Selection,"A company ranks job candidates by their test scores and needs to select candidates whose scores fall within a specific range to proceed to interviews. Given a list of scores and a range [low, high], count the number of candidates with scores in that range.",Number of candidates: 1 ≤ n ≤ 10^5; Scores: 1 ≤ score ≤ 10^6; Range: 1 ≤ low ≤ high ≤ 10^6,"[
  {
    ""input"": ""Scores = [10, 20, 30, 40, 50], Range = [15, 45]"",
    ""output"": ""3"",
    ""explanation"": ""Scores in [15, 45] are 20, 30, 40 (count = 3).""
  },
  {
    ""input"": ""Scores = [5, 10], Range = [20, 30]"",
    ""output"": ""0"",
    ""explanation"": ""No scores fall within [20, 30].""
  }
]",Moderate,
80,Urban Heat Map,"A city generates a heatmap showing temperatures across a 2D grid of districts. To identify temperature hotspots, city analysts want to find the maximum temperature within a specified rectangular subgrid. Given a 2D list representing the temperature grid and the coordinates of the subgrid (top-left and bottom-right corners), compute the maximum temperature within that subgrid.","Grid size: 1 ≤ rows, cols ≤ 200; Temperature values: -10⁴ ≤ temp ≤ 10⁴; Subgrid coordinates: 1 ≤ r1 ≤ r2 ≤ rows; 1 ≤ c1 ≤ c2 ≤ cols","[
  {
    ""input"": ""Grid = [[1, 2, 3], [4, 5, 6]], Subgrid = [r1=1, r2=2, c1=2, c2=3]"",
    ""output"": ""6"",
    ""explanation"": ""The subgrid includes [2, 3] (row 1) and [5, 6] (row 2). The maximum is 6.""
  },
  {
    ""input"": ""Grid = [[10, 10], [10, 10]], Subgrid = [r1=1, r2=1, c1=1, c2=1]"",
    ""output"": ""10"",
    ""explanation"": ""The subgrid is just [10], so the maximum is 10.""
  }
]",Moderate,
81,Code Breaker Frequency,"A cryptographer analyzes a coded message to identify patterns by finding the minimum window in the message that contains at least k occurrences of a specific letter. Given a message, a target letter, and k, find the length of the smallest such window.",Message length: 1 ≤ n ≤ 10^5; Message contains only lowercase letters (a-z); Target letter: a-z; 1 ≤ k ≤ n,"[
  {
    ""input"": ""Message = abacaba, Letter = a, k = 3"",
    ""output"": ""5"",
    ""explanation"": ""The smallest window with 3 'a's is abaca (indices 1-5), with length 5.""
  },
  {
    ""input"": ""Message = xyz, Letter = x, k = 2"",
    ""output"": ""-1"",
    ""explanation"": ""There is only one 'x', so no window has 2 'x's.""
  }
]",Moderate,
82,Unique Passcode Design,"A high-security vault requires a passcode with no repeating letters in the prefix to start the unlocking process. Given a passcode string, find the length of the longest prefix in which all letters are unique.",Passcode length: 1 ≤ n ≤ 10^5; Passcode contains only lowercase letters (a-z).,"[
  {
    ""input"": ""passcode = abcdabe"",
    ""output"": ""4"",
    ""explanation"": ""The longest prefix with unique letters is abcd (length 4), as 'a' repeats at position 5.""
  },
  {
    ""input"": ""Passcode = aabb"",
    ""output"": ""1"",
    ""explanation"": ""The prefix a is unique, but the next 'a' repeats at index 1, so the valid prefix is only length 1.""
  }
]",Moderate,
83,Scrambled Riddle Solver,"A puzzle master creates riddles by scrambling words, and solvers must group words that are rearrangements of each other. Given a list of words, group all words that are anagrams of each other.",Number of words: 1 ≤ n ≤ 10^4; Word length: 1 ≤ len ≤ 100; Words contain only lowercase letters (a-z).,"[
  {
    ""input"": ""Words = [eat, tea, tan, ate, nat]"",
    ""output"": ""[[eat, tea, ate], [tan, nat]]"",
    ""explanation"": ""eat, tea, ate are anagrams; tan, nat are anagrams.""
  },
  {
    ""input"": ""Words = [cat, dog]"",
    ""output"": ""[[cat], [dog]]"",
    ""explanation"": ""No words are anagrams of each other, so each forms its own group.""
  }
]",Moderate,
84,Magic Spell Expansion,"A sorcerer casts spells using words that can be extended into palindromes by adding letters. Given a word, find the longest palindromic substring within it to determine the spell’s core.",Word length: 1 ≤ n ≤ 1000; Word contains only lowercase letters (a-z).,"[
  {
    ""input"": ""babad"",
    ""output"": ""bab"",
    ""explanation"": ""The longest palindromic substring is 'bab' (or 'aba', both length 3).""
  },
  {
    ""input"": ""cbbd"",
    ""output"": ""bb"",
    ""explanation"": ""The longest palindromic substring is 'bb' (length 2).""
  }
]",Moderate,
85,Message Archive Search,"A historian is analyzing a sequence of archived message IDs. To support research, they need to find the shortest contiguous subsequence of messages that contains all specified target IDs. If no such subsequence exists, return -1.",Number of messages: 1 ≤ n ≤ 10^5; Number of target IDs: 1 ≤ m ≤ 100; IDs are strings of lowercase letters (1 ≤ length ≤ 10).,"[
  {
    ""input"": ""Messages = [id1, id2, id1, id3], Targets = [id1, id3]"",
    ""output"": ""2"",
    ""explanation"": ""The shortest subsequence that contains both 'id1' and 'id3' is ['id1', 'id3'] (from indices 2 to 3), with a length of 2.""
  },
  {
    ""input"": ""Messages = [a, b, c], Targets = [a, d]"",
    ""output"": ""-1"",
    ""explanation"": ""Target 'd' does not exist in the list of messages, so no valid subsequence can be formed.""
  }
]",Moderate,
86,Poem Title Sorting,"A poetry archive maintains a list of poem titles and sorts them lexicographically for inclusion in anthologies. To prepare a collection, the editor needs to identify the k-th smallest title in sorted order. If there are fewer than k titles, return an empty string ''.",Number of titles: 1 ≤ n ≤ 10^5; Title length: 1 ≤ len ≤ 50; Titles contain only lowercase letters (a-z); 1 ≤ k ≤ n,"{
    """"input"""": """"Titles = [apple, banana, cherry], k = 2"""",
    """"output"""": """"banana"""",
    """"explanation"""": """"Sorted titles: ['apple', 'banana', 'cherry']. The 2nd smallest title is 'banana'.""""
  },
  {
    """"input"""": """"Titles = [zebra], k = 2"""",
    """"output"""": """""""""",
    """"explanation"""": """"Only one title exists, so the 2nd smallest does not exist.""""
  }",Moderate,
87,Message Relay System,"A relay system processes messages in order, but delays messages containing a specific keyword until all prior messages are processed. Given a list of messages and a keyword, reorder the messages so that those containing the keyword appear at the end in their relative order.",Number of messages: 1 ≤ n ≤ 10^5; Message length: 1 ≤ len ≤ 50; Messages and keyword contain only lowercase letters (a-z).,"[
  {
    ""input"": ""Messages = [hello, key, world, keynote], Keyword = key"",
    ""output"": ""[hello, world, key, keynote]"",
    ""explanation"": ""Messages 'key' and 'keynote' contain 'key' and are moved to the end in order.""
  },
  {
    ""input"": ""Messages = [abc, def], Keyword = xyz"",
    ""output"": ""[abc, def]"",
    ""explanation"": ""No messages contain 'xyz', so the order remains unchanged.""
  }
]",Moderate,
88,Text Revision History,"A writer uses a text editor that saves revisions as words, allowing undo operations. Given a sequence of operations (add word or undo), compute the final text after all operations.",Number of operations: 1 ≤ n ≤ 10^5; Words are strings of lowercase letters (1 ≤ length ≤ 10); Operations are 'add <word>' or 'undo'.,"[
  {
    ""input"": ""Operations = [add hello, add world, undo, add test]"",
    ""output"": ""[hello, test]"",
    ""explanation"": ""Add 'hello', add 'world', undo removes 'world', add 'test'. Final text: ['hello', 'test'].""
  },
  {
    ""input"": ""Operations = [add abc, undo]"",
    ""output"": ""[]"",
    ""explanation"": ""Add 'abc', undo removes it. Final text is empty.""
  }
]",Moderate,
89,Event Schedule Optimization,"An event planner schedules talks, each with a start and end time, and wants to maximize the number of non-overlapping talks. Given a list of talk intervals, compute the maximum number of talks that can be scheduled.",Number of talks: 1 ≤ n ≤ 10^5; Start and end times: 0 ≤ time ≤ 10^9,"[
  {
    ""input"": ""Intervals = [[1, 3], [2, 4], [3, 5]]"",
    ""output"": ""2"",
    ""explanation"": ""Schedule [1, 3] and [3, 5] for 2 non-overlapping talks.""
  },
  {
    ""input"": ""Intervals = [[1, 4], [2, 3], [3, 4]]"",
    ""output"": ""1"",
    ""explanation"": ""All talks overlap, so only one (e.g., [1, 4]) can be scheduled.""
  }
]",Moderate,
90,Keyword Density Analysis,"A content creator analyzes a text to ensure no letter appears too frequently, defining a valid segment as one where each letter appears at most k times. Given a text and k, find the length of the longest valid segment.",Text length: 1 ≤ n ≤ 10^5; Text contains only lowercase letters (a-z); 1 ≤ k ≤ n,"[
  {
    ""input"": ""Text = aabbcc, k = 2"",
    ""output"": ""6"",
    ""explanation"": ""The entire text 'aabbcc' is valid (a:2, b:2, c:2, all ≤ 2), with length 6.""
  },
  {
    ""input"": ""Text = aaa, k = 1"",
    ""output"": ""1"",
    ""explanation"": ""The character 'a' appears more than once in any segment longer than length 1. So the longest valid segment with 'a' appearing at most once is either 'a' (at index 0, 1, or 2) → length 1.""
  }
]",Moderate,
91,Customer Discount Eligibility Checker,"For a customer purchasing items: If total bill ≥ ₹2000 and the customer is a member, apply 20% discount. If the bill is between ₹1000–1999 and it’s the customer’s birthday, give 15% off. Else, no discount. Also print which condition was applied.",1 ≤ bill ≤ 10^6; Membership and birthday inputs are 'yes' or 'no' only.,"[
  {
    ""input"": ""Enter total bill amount: 900\nIs the customer a member? (yes/no): no\nIs it the customer's birthday? (yes/no): no"",
    ""output"": ""Discount Applied: No Discount\nFinal Amount: ₹900"",
    ""explanation"": ""No discount applied as bill is less than ₹1000 and no special conditions are met.""
  }
]",Easy,
